Nombre de Dispositivo;Imagenes;Categoria;Link de Descarga;Diseñado por:;Notes;USUARIOS;ESTADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwawu Arm 2.0 - Prosthetic -Thermoform Version;Kwawu_2.0_Scalable_Thermoformed(11-4).png (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/zIibXpUrQCR8k--smto3Hg/sl_FI3V676P39C_FQQZwelsVbF1FglBPTvuEYrnrNuH_QCZ4oE0yfT8a_EDCIwscfxug7VwjWepFaBPJ-cUlQKJ-AQ1tbkkc7ACodNEKXBYv-nsODOTzR7JAoPKdsVjSarW2rR_RsPZ73td_00C6SA/CsVu_tYcBzyIky_k4iKG5ulCPNJb3UEzbJi2nXMrnWE);Elbow Powered;l;by JacquinBuchanan;Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Ideal para Muñones largos; DESPUES de la mitad del antebrazo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Recomendado para personas adultas; ya que el nivel de detalle es superior; y de encoger el tamaño de la prótesis; se vuelve ineficaz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Parametrizado en OpenScad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Aplicable a sostenedor de pluma o lápiz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. Tiempo de impresión: 4 Días aproximadamente; con 5 impresoras simultáneas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. El brazo (arm 1) se imprime en una sola pieza; ya que al imprimirse por separado pierde resistencia considerablemente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. Dificultad de ensamblado: ↑↑↑;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"    Dificultad de calibración: ↓""";U2022-00087,U2022-00012,U2022-00056,U2022-11875,U2022-02456,U2022-00104,U2023-,U2023-,U2019-01141,U2023-00606,U2023-00546,U2023-00504,U2023-00121,U2023-00160,U2023-00379,U2023-00058,U2023-00221,U2024-00188,U2024-00462,U2023-00274,U2024-00075,U2024-00845,U2024-1668 ,U2024-00975,U2024-00276,U2024-00022,U2024-00051,U2024-00005,U2024-07099,U2024-00093;ACTIVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwawu Arm 2.0 - Prosthetic - Socket Version;Kwawu_2.0_Socket(11-4).png (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/urYPRX6gYWIcnQB0isXSDg/MH32Feb4_GZf_TtXNFzXldBFyXTFRVrj2HPYS5MQ9uD38ADp3rSgU1Px_LIBW6df4qOPFQGXCY77q2jokKvI_KxEkXy8bBulJeNBNtGHfnjkYFEgorS18Yd42XegjEEc/AA52OmqccJdhW5WWTod1nqzJeyY2--l95CcT6hJa9eI);Elbow Powered;https://www.thingiverse.com/thing:2841281;by JacquinBuchanan;Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Ideal para Muñones cortos; ANTES de la mitad del antebrazo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Recomendado para personas adultas; ya que el nivel de detalle es superior; y de encoger el tamaño de la prótesis; se vuelve ineficaz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Parametrizado en OpenScad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Aplicable a sostenedor de pluma o lápiz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. Tiempo de impresión: 4 Días aproximadamente; con 5 impresoras simultáneas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. El brazo (arm 1) se imprime en una sola pieza; ya que al imprimirse por separado pierde resistencia considerablemente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. Dificultad de ensamblado: ↑↑↑;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Dificultad de calibración: ↓;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;U2022-17668;U2022-;U2023-;U2023-;U2023-;U2023-00696;U2020-14948;U2021-05152;U2023-00180;U2022-00771;U2022-00001;U2023-01063;U2023-00065;U2023-06231;U2023-00936;U2023-00003;U2023-00431;U2023-01550;U2023-00677;U2023-00062;U2023-00407;U2023-00321;U2024-00815;U2023-01210;U2023-01957;U2023-00070;U2024-20890;U2024-0120 ;U2024-05155;U2024-00314;U2024-03679;U2024-00348;U2024-00016;U2024-01058;U2024-03578;U2024-00005;U2024-00049;U2024-00323;U2024-00201;U2024-00845;"U2024-00134""";ACTIVA
The UnLimbited Arm v2.1 - Alfie Edition;2015-09-17.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/uuJFS0Cq6CWAPtcG07W0bw/YmEX-yqcINunFYuaQoJ0k7wp-ZqsueSsZHpfIFZ4eNxtyLNVN7-RX_zFbrA0_L4afnRl-8PLHBK004cofBWCdCfm1543gnRLdqGu-yDBwXU/pk-fuA9WYlHhEpt7sxYL8J6mYsQgd_AoEeQovShLH7g);Elbow Powered;https://www.thingiverse.com/thing:1672381;by Team_UnLimbited;Características:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Se utiliza para cualquier tipo de muñon (amputación arriba de la muñeca).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Recomendado para niños; en edades de 6 a 13 años. (Contraparte de las Kwawu).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Tiempo de impresión: 2 a 3 días aproximadamente; con 5 impresoras simultáneas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Dificultad de ensamblado: ↓;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"    Dificultad de calibración: ↑↑↑""";U2019- mamá,U2022-00287,U2022-01735,U2022-,U2022-,U2022-13153,U2023-00227,U2023-00439,U2023-00746;ACTIVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HandPo;DSC_5645.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/P6O4abTkApC3q3yrqNIy1A/Ci8JuqcbEubEuonXmo4rue5QCXXHj2KDJufroPn1zyTOiR08tc8pXKfEAOtTFmpW9naTdar8mpU8E_OCOGE7KQ_zfRj_doSozksL_8FLEfE/IO2RmESlGBtQFSmOoo2Pmm9cDOZJ1NjWY8_ccyuswzw);Wrist Powered;https://www.thingiverse.com/thing:1626020;By poparaguay ;Características: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Se utiliza para amputaciones de mano. Es necesaria la presencia de la muñeca para accionar la prótesis. De lo contrario; se necesitará una Kwawu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Recomendado para adultos; ya que su diseño y calidad de impresión son superiores al producir a mayor escala (tamaño).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Tiempo de impresión: 2 a 3 días aproximadamente; con 5 impresoras simultáneas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Dificultad de ensamblado: ↓;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Dificultad de calibración: ↑↑↑;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;U2022-;"U2019-08998""";ACTIVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Promimetic Canvas;Promimetic.JPG (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/rnSwJzd-ns0dV3159TapBQ/SFnWF4zWesozNZ4SdhnmXoo2FhenJ6-0301btN7Ay9TlEgRT_HL9EoHRUf8Aw1G9vHl_eGY7vsAg4RBQXp3kybGUtTwKX_999PxPRVtVr1k/FCU-WfgKlALCsslGK7nfIkRn63vzg_a31MKA9fzYs3w);Elbow Powered;https://www.thingiverse.com/thing:2715009;by ChristianSilva;;;ACTIVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e-NABLE Phoenix Hand v2;50758ca027e3ad1ce310774b607ebb89_preview_featured.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/RdehSRF6RfmXkl6n7ZEBTg/oaVcohelLxbRqWi1A0yil9ZIhCyr0P1ambV2ZRnaazIlI4EXzSzqC0FapM2BezNcAQC6O1VrqOOw4QaLtszdpiFr67Sjj0A7uv0NPwMoVYpdf7k3VN5L22vPJXul0X-z2Y2jPRpGY5V5RsBJTGhZIA/Kau9yMvN7zdovPYYcYDAJSu3pfrHtWPpmpm89z_2Q5E);Wrist Powered;https://www.thingiverse.com/thing:1453190;by EnableCommunityFoundation;;U2024-00986;ACTIVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
